DOY,StationCode,mean_tec
170.0,ROPA,33.20362612685164
170.0,TRIV,23.604540505950098
171.0,BOMB,25.62157899528701
171.0,IITK,33.64665438389146
171.0,MANI,28.455824510271153
171.0,ROPA,35.02872426019818
171.0,TRIV,26.340717234749278
172.0,BOMB,29.430236682579654
172.0,IITK,31.670446962616136
172.0,MANI,27.591264433274738
172.0,ROPA,33.41906758329364
172.0,TRIV,29.14644482863912
173.0,BOMB,23.281584457264707
173.0,IITK,36.08827497352905
173.0,MANI,29.321109542783972
173.0,ROPA,33.22046237570655
173.0,TRIV,26.909470748460905
174.0,BOMB,21.0991461749616
174.0,IITK,37.09792015053064
174.0,MANI,30.04308919541583
174.0,ROPA,35.042037637795694
174.0,TRIV,23.422559824902386
175.0,BOMB,28.110033586758746
175.0,IITK,38.358155699967426
175.0,MANI,32.147148890928534
175.0,ROPA,40.73856966863341
175.0,TRIV,22.548521087642293
176.0,BOMB,29.943289593416672
176.0,IITK,38.82358530079624
176.0,MANI,32.25938086771461
176.0,ROPA,40.660132585492576
176.0,TRIV,24.833004460290784
177.0,BOMB,30.939311114317505
177.0,IITK,43.145302878322205
177.0,MANI,35.78377294707831
177.0,ROPA,50.02923316673184
177.0,TRIV,21.169720405934484
178.0,BOMB,32.06442481943561
178.0,IITK,36.63440668181956
178.0,MANI,33.79340522075483
178.0,ROPA,34.74324777026661
178.0,TRIV,35.33653751846651
179.0,BOMB,17.638124212716782
179.0,IITK,44.367765004916436
179.0,MANI,33.377932592057746
179.0,ROPA,39.77078955645646
179.0,TRIV,20.73679569883854
180.0,BOMB,33.81301057726881
180.0,IITK,42.95099646278874
180.0,MANI,38.20148191509235
180.0,ROPA,38.83134103976545
180.0,TRIV,37.188301538364406
181.0,BOMB,34.81395021038686
181.0,IITK,41.05721219019075
181.0,MANI,36.57320570521376
181.0,ROPA,34.36676809933528
181.0,TRIV,44.36557095553536
182.0,BOMB,33.647364995800686
182.0,IITK,42.671680623217554
182.0,MANI,37.16650641373508
182.0,ROPA,34.15318706527292
182.0,TRIV,45.44670790704908
183.0,BOMB,37.56499889169509
183.0,IITK,46.00924283516537
183.0,MANI,40.4351780002504
183.0,ROPA,39.368385624470626
183.0,TRIV,42.427229257957265
184.0,BOMB,38.298076810863286
184.0,IITK,41.851395722757864
184.0,MANI,39.16174255101723
184.0,ROPA,35.59856133321891
184.0,TRIV,49.376809881065235
185.0,BOMB,35.66889806361294
185.0,IITK,43.93728741186786
185.0,MANI,40.38280955286395
185.0,ROPA,40.126938720706356
185.0,TRIV,41.38074941503655
186.0,BOMB,38.70656888338639
186.0,IITK,58.69237191388214
186.0,MANI,42.269204475318055
186.0,ROPA,42.80199975664058
186.0,TRIV,41.07143863266233
187.0,BOMB,40.105217101446534
187.0,IITK,44.30427186749069
187.0,MANI,42.332791425205514
187.0,ROPA,40.89824917852931
187.0,TRIV,47.54020961226572
188.0,BOMB,44.11154093826275
188.0,IITK,45.85079413814101
188.0,MANI,43.45471921683902
188.0,ROPA,44.540896227597436
188.0,TRIV,43.74082060760667
189.0,BOMB,44.587020631737595
189.0,IITK,44.950972621112044
189.0,MANI,41.84892088476598
189.0,ROPA,41.830886973389234
189.0,TRIV,46.173721207843585
190.0,BOMB,44.77217231407005
190.0,IITK,48.87586630335616
190.0,MANI,45.10826341166524
190.0,ROPA,46.127709578106774
190.0,TRIV,45.25759760309146
191.0,BOMB,49.50798807659794
191.0,IITK,44.11872105947573
191.0,MANI,44.00903739425044
191.0,ROPA,39.24588823647487
191.0,TRIV,51.93792078922802
192.0,BOMB,49.824422144237204
192.0,IITK,41.87145999851633
192.0,MANI,45.29692808179841
192.0,ROPA,41.59105160518978
192.0,TRIV,50.826680792311414
193.0,BOMB,49.42650609019204
193.0,IITK,42.05211514480169
193.0,MANI,44.152081144133035
193.0,ROPA,39.539846211805525
193.0,TRIV,52.452564409553496
194.0,BOMB,52.22135352000338
194.0,IITK,44.22138614639196
194.0,MANI,43.59949497929084
194.0,ROPA,41.06677141639732
194.0,TRIV,51.630407007785
195.0,BOMB,53.49119002947048
195.0,IITK,46.43396943630845
195.0,MANI,45.86844090782201
195.0,ROPA,39.03049074557192
195.0,TRIV,55.81926454746093
196.0,BOMB,62.25419449229542
196.0,IITK,52.272297607371826
196.0,MANI,50.10057736688301
196.0,ROPA,43.065857096038286
196.0,TRIV,53.58869715875607
197.0,BOMB,68.8407558683001
197.0,IITK,57.649677014340874
197.0,MANI,56.518676818959676
197.0,ROPA,55.28104053967686
197.0,TRIV,51.67702041142323
198.0,BOMB,56.49398081601762
198.0,IITK,53.18216521587416
198.0,MANI,52.04705495049757
198.0,ROPA,46.819656732594936
198.0,TRIV,58.6290581924874
199.0,BOMB,49.38242263499631
199.0,IITK,58.7828778966767
199.0,MANI,53.352947901920274
199.0,ROPA,46.672091143652736
199.0,TRIV,59.375964994081656
200.0,BOMB,48.94605296997863
200.0,IITK,66.65213019870134
200.0,MANI,52.79889565531336
200.0,ROPA,47.543566231366505
200.0,TRIV,59.695882661625966
201.0,BOMB,49.93100268946653
201.0,IITK,60.55586027055722
201.0,MANI,49.92851694330788
201.0,ROPA,48.034442727167196
201.0,TRIV,58.56727832081571
202.0,BOMB,52.63879942221139
202.0,IITK,56.89956582409089
202.0,MANI,48.38768239541814
202.0,ROPA,41.01302810345061
202.0,TRIV,67.58029208512576
203.0,BOMB,51.27272130858238
203.0,IITK,66.80401721703844
203.0,MANI,49.96777143627345
203.0,ROPA,47.850500785946736
203.0,TRIV,57.470264569450705
204.0,BOMB,53.38874868376783
204.0,IITK,33.49133450963758
204.0,MANI,33.78460102721774
204.0,ROPA,30.24395110458449
204.0,TRIV,39.385612112426415
205.0,BOMB,61.96662286708876
205.0,IITK,44.523726144293825
205.0,MANI,40.76180483565585
205.0,ROPA,36.03774681683247
205.0,TRIV,41.72223675858864
206.0,BOMB,64.33426710850786
206.0,IITK,41.77822763630037
206.0,MANI,41.29090663951722
206.0,ROPA,37.78383966428479
206.0,TRIV,47.592261925229096
207.0,BOMB,64.83563262752804
207.0,IITK,56.187394211423495
207.0,MANI,45.061577142067115
207.0,ROPA,44.66474763405293
207.0,TRIV,52.95918040984172
208.0,BOMB,63.29353107983054
208.0,IITK,44.32081416093709
208.0,MANI,39.45177418046696
208.0,ROPA,30.55398160333099
208.0,TRIV,66.42423022446333
209.0,BOMB,64.58617948227085
209.0,IITK,35.07504508210078
209.0,MANI,36.44254882539955
209.0,ROPA,28.193688132514623
209.0,TRIV,61.8844810121531
210.0,BOMB,59.04665773142824
210.0,IITK,37.22398465570786
210.0,MANI,36.59351239774398
210.0,ROPA,26.624662103724393
