DOY,Station,mean_dN,mean_dE,mean_dH
159,MANI,-0.0030725803,0.0083928732,-0.0099503854
159,ROPA,0.003664464,-0.0050895284,0.013370246
159,TRIV,-0.019770702,-0.02922467,-0.026573718
160,BOMB,-0.0063544177,0.020685278,0.0074199489
160,IITK,0.0,0.0,0.0
160,MANI,-0.0054015801,0.015772523,0.0063950261
160,ROPA,-0.00046514056,-0.00081119256,0.013940251
160,TRIV,-0.023465808,-0.024818642,-0.015309808
161,BOMB,-0.0011551816,0.0075932276,0.017705476
161,IITK,0.0,0.0,0.0
161,MANI,-0.0056896172,0.012176082,0.013057793
161,ROPA,-7.5181968e-05,-0.022078123,0.0013546901
161,TRIV,-0.022472845,-0.016578691,-0.011586765
162,BOMB,-0.0069390531,-0.0047250139,0.014925343
162,IITK,0.0,0.0,0.0
162,MANI,-0.0059399228,-0.0030810647,0.012566998
162,ROPA,0.0060635782,-0.011972146,-0.002566837
162,TRIV,-0.021518679,-0.037250146,-0.014368964
163,BOMB,-0.0064928518,0.0016489786,0.016011287
163,IITK,0.0,0.0,0.0
163,MANI,-0.006546976,0.018684926,0.0081185214
163,ROPA,0.0043835705,-0.01294729,0.0076307869
163,TRIV,-0.023619685,-0.016427552,-0.029026166
164,BOMB,-0.0035277402,0.0089911139,-0.014594567
164,IITK,0.0,0.0,0.0
164,MANI,-0.0074294289,0.019031938,0.014527719
164,ROPA,0.0034249234,-0.0004657307,0.011517393
164,TRIV,-0.020041684,-0.027290167,-0.02726052
165,BOMB,-0.0042422907,0.015542957,-0.0025489929
165,IITK,0.0,0.0,0.0
165,MANI,-0.0069780615,0.0052170553,0.0078900205
165,ROPA,0.0016420372,-0.0083644772,0.015728598
165,TRIV,-0.018163422,-0.0010026487,-0.028207583
166,BOMB,-0.0013507068,0.0047664708,-0.00065539178
166,IITK,0.0,0.0,0.0
166,MANI,-0.0069740433,0.015067132,0.0071262983
166,ROPA,0.0023670963,-0.0028886979,0.0090806345
166,TRIV,-0.027766848,-0.029736027,-0.047818199
167,BOMB,-0.0012585336,0.01671822,-0.008718797
167,IITK,0.0,0.0,0.0
167,MANI,-0.0063551883,0.0099211801,0.0083208401
167,ROPA,0.0056732488,-0.0062531242,0.0077224909
167,TRIV,-0.017376801,-0.019975681,-0.01763843
168,BOMB,-0.004280895,0.0038587013,0.017852126
168,IITK,0.0,0.0,0.0
168,MANI,-0.0044701812,0.013266686,0.017366758
168,ROPA,-0.0020072248,-0.010051072,0.014812808
168,TRIV,-0.021433996,-0.024494098,-0.026660876
169,BOMB,-0.0005791249,0.0013968087,0.016990231
169,IITK,0.0,0.0,0.0
169,MANI,-0.004823565,0.0064144544,0.003919106
169,ROPA,-0.00018929278,-0.016288752,0.022878084
169,TRIV,-0.017979512,-0.031085981,-0.018274985
170,BOMB,-0.0096088089,0.0076147607,0.01863707
170,IITK,0.0,0.0,0.0
170,MANI,-0.004384812,0.012129582,0.021669229
170,ROPA,0.0018763945,-0.0046947855,0.012799742
170,TRIV,-0.018438416,-0.018937316,-0.015069298
171,BOMB,-0.011581196,0.0032898674,0.028198041
171,IITK,0.0,0.0,0.0
171,MANI,-0.0062843431,0.001667302,0.0078910366
171,ROPA,0.00555701,-0.0049826698,0.0063853548
171,TRIV,-0.022748854,-0.02168295,-0.071596436
172,BOMB,-0.0021805842,0.0013876369,0.0029253557
172,IITK,0.0,0.0,0.0
172,MANI,-0.0014673162,0.011882176,0.003607979
172,ROPA,0.0075286506,-0.0055849878,-0.0026028047
172,TRIV,-0.018805858,-0.026577039,-0.024298837
173,BOMB,-0.0049833301,0.015261857,0.01247084
173,IITK,0.0,0.0,0.0
173,MANI,-0.0071154614,0.013057792,0.011584022
173,ROPA,0.0030525078,-0.0075253164,0.016343044
173,TRIV,-0.021687848,-0.014310451,-0.024092272
174,BOMB,-0.0076463432,0.005406362,0.02035971
174,IITK,0.0,0.0,0.0
174,MANI,-0.0062926854,0.003626232,0.0038690525
174,ROPA,-0.0008128073,-0.011649022,0.024559772
174,TRIV,-0.0199406,-0.01432712,-0.0088922912
175,BOMB,-0.012689791,2.6423821e-05,-0.0050044013
175,IITK,0.0,0.0,0.0
175,MANI,-0.012109678,0.0088125085,0.0010408794
175,ROPA,-0.0047093257,-0.0034071247,0.011548484
175,TRIV,-0.033628069,-0.032998949,-0.035635356
176,BOMB,-0.01156397,0.010005188,-0.01005355
176,IITK,0.0,0.0,0.0
176,MANI,-0.0072848503,0.012491577,-0.001015011
176,ROPA,-0.00079994503,-0.002650264,0.0039163674
176,TRIV,-0.033024997,-0.035562783,-0.055199102
177,BOMB,-0.0075755366,0.019886842,0.003631654
177,IITK,0.0,0.0,0.0
177,MANI,-0.0061524226,0.0114205,-0.0053191786
177,ROPA,0.0036660999,-0.0072768517,0.0025089826
178,BOMB,-0.0085169459,0.028214218,0.0084800944
178,IITK,0.0,0.0,0.0
178,MANI,-0.0068853647,0.016999172,0.0071152621
178,ROPA,0.0034877951,-0.0043610581,0.01114214
179,BOMB,-0.010676915,0.002842248,0.0022416862
179,IITK,0.0,0.0,0.0
179,MANI,-0.0067986138,0.011204352,-0.012255136
179,ROPA,0.0031456782,0.00048959849,0.0016150754
179,TRIV,-0.028049152,-0.046960797,-0.066128701
180,BOMB,-0.0097760586,0.010675146,-0.009496931
180,IITK,0.0,0.0,0.0
180,MANI,-0.0061255307,0.014071224,-0.018579358
180,ROPA,0.0065751136,-0.0091100484,-0.0060121403
181,BOMB,-0.011192497,0.00074101135,-0.0086155869
181,IITK,0.0,0.0,0.0
181,MANI,-0.0064035575,0.011934144,-0.0035932655
181,ROPA,0.0041814796,-0.0022770816,0.021641526
181,TRIV,-0.033263601,-0.0013675184,-0.037480876
182,BOMB,-0.0058517712,0.0081044044,-0.014035034
182,IITK,0.0,0.0,0.0
182,MANI,-0.006960867,0.014096773,-0.011136466
182,ROPA,0.0032519219,0.0041385824,-0.0012764265
182,TRIV,-0.027593493,-0.010016642,-0.049867004
183,BOMB,-0.011347136,0.0065636598,0.0041740318
183,IITK,0.0,0.0,0.0
183,MANI,-0.01027004,0.0087037394,9.8061406e-05
183,ROPA,0.003759434,-0.0083739562,-0.00081232557
183,TRIV,-0.024484301,-0.0031491865,-0.035159457
184,BOMB,-0.0061119352,0.011491658,0.018557383
184,IITK,0.0,0.0,0.0
184,MANI,-0.0073035103,0.0076760375,-0.0057562124
184,ROPA,0.0040639718,-0.01889601,-0.0021170271
184,TRIV,-0.015585399,-0.030004876,-0.009092886
185,BOMB,-0.0037361947,0.0047658705,-0.0077115567
185,IITK,0.0,0.0,0.0
185,MANI,-0.0041814018,0.00015217873,0.0014097157
185,ROPA,0.00010271362,-0.022145338,0.0043373015
185,TRIV,-0.016837103,-0.039956201,-0.041646149
186,BOMB,-0.050244708,-0.11203647,-0.19450183
186,IITK,0.0,0.0,0.0
186,MANI,-0.029256862,-0.074417591,-0.24344321
186,ROPA,0.01065967,-0.096124098,-0.23738256
186,TRIV,-0.10691347,-0.11476158,-0.27269557
187,BOMB,-0.0045435773,0.0087851267,-0.0028621131
187,IITK,0.0,0.0,0.0
187,MANI,-0.0077120974,0.011981825,0.0036770441
187,ROPA,0.00016793913,-0.0040132422,0.01462932
187,TRIV,-0.020651245,-0.02071083,-0.020643583
188,BOMB,-0.0020166961,0.023655163,-0.024586966
188,IITK,0.0,0.0,0.0
188,MANI,-0.006064551,0.010885247,-0.017593268
188,ROPA,0.0071691,-0.01306915,0.0013850261
188,TRIV,-0.016972793,-0.017014682,-0.033860937
189,BOMB,-0.0038820952,0.040737867,-0.0038958527
189,IITK,0.0,0.0,0.0
189,MANI,-0.0047107213,0.011707763,-0.0029933483
189,ROPA,0.0020799292,-0.0021690442,-0.0097908247
189,TRIV,-0.01643851,-0.0038163399,-0.019261314
190,BOMB,-0.0049734106,0.021718994,0.018942298
190,IITK,0.0,0.0,0.0
190,MANI,-0.0069030756,0.015604424,-0.0071251602
190,ROPA,0.0018860046,-0.0075634052,0.006155496
190,TRIV,-0.022043383,-0.02982969,-0.02652142
191,BOMB,-0.013201413,0.011978797,3.8697621e-05
191,IITK,0.0,0.0,0.0
191,MANI,-0.0102912,0.019301377,-0.008761894
191,ROPA,-0.0051077199,0.0018917094,-0.0011569991
191,TRIV,-0.023205755,-0.022464132,-0.032606199
192,BOMB,0.00051413669,0.018199159,0.023474155
192,IITK,0.0,0.0,0.0
192,MANI,-0.0069908388,0.010594878,-0.0035902404
192,ROPA,0.0029636498,-0.013674241,0.013238803
192,TRIV,-0.025376057,-0.023837527,-0.012520003
193,BOMB,-0.0049181301,0.0085335644,0.0080022896
193,IITK,0.0,0.0,0.0
193,MANI,-0.0057908054,0.017830413,-0.0005045443
193,ROPA,0.0021247601,-0.0022025122,0.011337419
194,BOMB,0.012967567,0.017311418,0.030179655
194,IITK,0.0,0.0,0.0
194,MANI,-0.0036209384,0.023294132,0.0078369919
194,ROPA,-0.00048794225,-0.0061871721,0.012931197
195,BOMB,0.012606899,0.014641876,0.22203249
195,IITK,0.0,0.0,0.0
195,MANI,-0.0024392225,0.016078889,-0.0084400149
195,ROPA,-0.0015134044,-0.0055156783,-0.033540796
196,IITK,0.0,0.0,0.0
196,MANI,-0.0080080861,0.01594628,0.0018038617
196,ROPA,-0.000256778,-0.010350989,0.0058944891
197,IITK,0.0,0.0,0.0
197,MANI,-0.011693513,0.0065056398,0.015396232
197,ROPA,0.0019941954,-0.0060271388,-0.0039653461
198,IITK,0.0,0.0,0.0
198,MANI,-0.0074707475,0.01151902,0.0039481688
198,ROPA,0.0014048101,-0.0053764684,0.0041369312
199,IITK,0.0,0.0,0.0
199,MANI,-0.0062600835,0.013461106,0.0043166811
199,ROPA,-0.00086137676,-0.0027108169,0.0028744293
200,IITK,0.0,0.0,0.0
200,MANI,-0.0087963697,0.016463386,0.0030224856
200,ROPA,0.0021023271,-0.00447948,0.020347547
201,IITK,0.0,0.0,0.0
201,MANI,-0.0058476254,0.012939537,0.0017169386
201,ROPA,0.0036342526,0.0055042109,-0.015472404
201,TRIV,-0.010042171,-0.01944942,-0.049483325
202,IITK,0.0,0.0,0.0
202,MANI,-0.0025721847,0.012229766,0.012055772
202,ROPA,0.0015316783,-0.018779282,-0.0039097588
202,TRIV,-0.015720164,-0.020043736,-0.036737673
203,IITK,0.0,0.0,0.0
203,MANI,-0.0070609674,0.012149138,-0.007292205
203,ROPA,-0.00049583788,0.0026765701,0.0076508834
203,TRIV,-0.022524372,-0.023497179,-0.03365377
204,IITK,0.0,0.0,0.0
204,MANI,-0.0036764082,0.0080103222,0.0056189802
204,ROPA,0.00081267249,-0.0041376892,0.015238542
204,TRIV,-0.016294114,-0.010213003,-0.053020746
205,IITK,0.0,0.0,0.0
205,MANI,-0.0048035071,0.021065148,0.0047886265
205,ROPA,0.001290612,-0.009542631,0.019282205
205,TRIV,-0.014349944,-0.0082880184,-0.068382435
206,IITK,0.0,0.0,0.0
206,MANI,-0.012324067,0.0063208477,-0.011348662
206,ROPA,-0.0046375347,-0.0069550769,0.0066146157
206,TRIV,-0.022047462,-0.025982495,-0.023051865
207,IITK,0.0,0.0,0.0
207,MANI,-0.0025035441,0.019687146,0.00602616
207,ROPA,0.0039953697,-0.02892754,-0.016524589
207,TRIV,-0.012330362,0.0020931354,-0.041455615
208,IITK,0.0,0.0,0.0
208,MANI,-0.0063786856,0.017328909,-0.01105372
208,ROPA,0.0023508396,-0.0024382027,-0.014062345
208,TRIV,-0.02521009,-0.010858714,-0.058356069
209,IITK,0.0,0.0,0.0
209,MANI,-0.0021913068,0.0089942161,-0.0078233648
209,ROPA,0.0011920746,-0.017138971,0.021248667
209,TRIV,-0.0085552121,-0.024667792,-0.032462247
210,IITK,0.0,0.0,0.0
210,MANI,-0.003978102,0.015817394,0.008987817
210,ROPA,-0.00012146675,-0.0043173162,0.013647835
210,TRIV,-0.019080266,-0.014191288,-0.0084994733
211,IITK,0.0,0.0,0.0
211,MANI,-0.0037078804,0.011621121,-0.0097489944
211,ROPA,0.0012890417,-0.003110993,0.017518586
211,TRIV,-0.014557025,-0.022017324,-0.0055449731
212,IITK,0.0,0.0,0.0
212,MANI,-0.0045963898,0.03304683,0.011104546
212,ROPA,0.0016461202,0.0049827369,0.016775345
212,TRIV,-0.010096271,0.00015538404,-0.020010408
213,IITK,0.0,0.0,0.0
213,MANI,-0.0044681737,0.017217468,-0.020933123
213,ROPA,0.002613405,-0.0036153409,-0.0033105889
213,TRIV,-0.024667669,-0.018467125,-0.045830995
214,IITK,0.0,0.0,0.0
214,MANI,-0.0054627089,0.012964195,-0.0062691839
214,ROPA,-0.0031853139,0.00016064754,0.0046238294
214,TRIV,-0.0091271531,-0.010639721,-0.0040001683
215,IITK,0.0,0.0,0.0
215,MANI,-0.0059730266,0.012057891,-0.0033580181
215,ROPA,0.001873877,0.0039201207,-0.0041238423
215,TRIV,-0.022965128,-0.01117325,-0.037394077
216,IITK,0.0,0.0,0.0
216,MANI,-0.00073461531,0.01169562,0.00039175485
216,ROPA,0.0023947118,-0.010303164,0.026619712
216,TRIV,-0.01426548,-0.019004609,-0.014756104
217,IITK,0.0,0.0,0.0
217,MANI,-0.0062498744,0.014581664,-0.0096673397
217,ROPA,0.0011566459,-0.0025141248,0.0086540785
217,TRIV,-0.017399739,-0.0096035842,-0.01989131
218,IITK,0.0,0.0,0.0
218,MANI,-0.0049526137,0.010013192,-0.0052444697
218,ROPA,-0.0059589581,-0.017537247,0.020605721
218,TRIV,-0.017173208,-0.02815197,-0.010418207
219,IITK,0.0,0.0,0.0
219,MANI,-0.0059736716,0.019076196,-0.01438946
219,ROPA,-0.0017544549,0.0025736757,-0.0040262784
219,TRIV,-0.016786471,-0.0088741938,-0.043907877
220,IITK,0.0,0.0,0.0
220,MANI,-0.0029057066,0.011878579,-0.011608807
220,ROPA,0.0016776418,-0.011324002,-0.0084906416
220,TRIV,-0.01134813,-0.024835568,-0.035177495
221,BOMB,-0.007001997,0.0066016302,0.008638517
221,IITK,0.0,0.0,0.0
221,MANI,-0.0028203935,0.018843161,-0.01406993
221,ROPA,-0.00018879717,0.00031652479,0.0066888966
221,TRIV,-0.002838149,-0.0078315176,-0.020462798
222,BOMB,-5.1938554e-05,0.012999018,-0.0075676762
222,IITK,0.0,0.0,0.0
222,MANI,-0.006560585,0.010121492,0.0042681377
222,ROPA,-0.004858301,-0.00076003594,0.014749749
222,TRIV,-0.0080399215,-0.012556115,-0.023069356
223,BOMB,0.0061783567,0.011307737,-0.016185392
223,IITK,0.0,0.0,0.0
223,MANI,-0.0068807639,0.0093558477,0.0060135387
223,ROPA,-0.0073763132,-0.013362703,-0.013226566
223,TRIV,-0.008264442,-0.016456727,-0.0013037196
224,BOMB,-0.0035809949,0.0096565727,-0.0069626472
224,IITK,0.0,0.0,0.0
